SKU,Name,Location,TCP,Floor_Area,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source,City/Town,Province
CD5F6C191E463C9PH,SERIN EAST TAGAYTAY,"Diversion Rd., Brgy. Silang Crossing East Silang Junction North, Tagaytay",8060000,40,1,1,2,1,1,1,0,2,3,https://www.lamudi.com.ph/new-developments/serin-east-tagaytay/1-bedroom-condo-unit-for-sale-at-serin-east-tagayt-168180888134/,Tagaytay,CAVITE
CD6500021EA3A76PH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City San Sebastian, Kawit",2744000,24.26,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/studio-low-rise-condo-unit-for-sale-in-kawit-cavit-170417445387/,Kawit,CAVITE
CD65E5A27A15EC8PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",5897000,30.36,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-gf-condo-unit-for-sale-in-bucandala-iv-i-171046365728/,Imus,CAVITE
CD657002B68155BPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",4033352,31.55,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-at-gar-170859543515/,Bacoor,CAVITE
CD6503D3FA5C37APH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",11369866,82.01,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-2br-condo-unit-for-sale-in-bacoor-cavite-170859542960/,Bacoor,CAVITE
CD6503D3F7CDEBFPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",11369866,82.01,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-executive-2br-condo-unit-in-bacoor-cavite-170859542351/,Bacoor,CAVITE
CD64A28B5BF2DC7PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",3840314,30.04,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-at-gar-170859374553/,Bacoor,CAVITE
CD64C24798E1634PH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City Navarro, General Trias",3416000,30.1,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-low-rise-condo-unit-for-sale-in-general-trias-170417444696/,General Trias,CAVITE
CD64FFFD5A8A831PH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City Alapan II-A, Imus",2744000,24.26,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/studio-low-rise-condo-unit-for-sale-in-imus-cavite-170417444872/,Imus,CAVITE
CD65D7FFD1419C4PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",5520000,44.16,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-at-gar-170865782559/,Bacoor,CAVITE
CD657002C0F0C5BPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",5545600,40,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-studio-condo-unit-for-sale-in-bacoor-cav-170859543045/,Bacoor,CAVITE
