SKU,Name,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source
CD6653D9E23A292PH,SUNRISE HOLIDAY MANSION HOTEL,1,0,0,0,0,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/alfonso/condo-unit-in-sunrise-holiday-mansion-inside-royal-17168233508/
CD654EFC898693FPH,WESTWIND AT LANCASTER NEW CITY,1,1,2,2,1,1,1,0,1,https://www.lamudi.com.ph/buy/cavite/general-trias/for-sale-westwind-condominium-at-lancaster-new-cit-17220063571/
CD62C338BC37D16PH,SERIN WEST TAGAYTAY,1,1,1,2,2,1,1,1,1,https://www.lamudi.com.ph/projects/serin-west-tagaytay/studio-unit-for-sale-in-avida-serin-tagaytay-near-168767598470/
CD65FFF6D5F3EFCPH,CROSSWINDS,1,0,0,0,0,1,0,2,0,https://www.lamudi.com.ph/projects/crosswinds/1-bedroom-condominium-unit-for-sale-in-crosswinds-171127368684/
CD665D4D0F79D04PH,TAGAYTAY PRIME RESIDENCES,1,1,0,0,1,1,0,0,1,https://www.lamudi.com.ph/buy/cavite/tagaytay/1-bedroom-fully-furnished-unit-in-tagaytay-prime-r-17173906079/
CD64ADF98455D16PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,3,2,1,0,1,1,0,0,1,https://www.lamudi.com.ph/projects/the-woodridge-at-tagaytay-highlands/3br-condo-for-sale-in-the-woodridge-place-tagaytay-168912320480/
CD6649C10CD3F0BPH,AVIANA,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/imus/studio-unit-for-sale-near-airport-171610958085/
NO938CD54WYRINTRESPH,SERIN EAST TAGAYTAY,2,1,1,0,1,1,1,1,1,https://www.lamudi.com.ph/buy/cavite/tagaytay/2-bedroom-unit-avida-serin-tagaytay-for-sale-in-si-16780892790/
CD65EADFADEF9C1PH,GREEN 2 RESIDENCES,2,1,0,2,1,1,1,0,0,https://www.lamudi.com.ph/projects/green-2-residences/2-bedroom-unit-for-sale-in-green-2-residences-dasm-17105155878/
CD66969C941E71BPH,ALEA RESIDENCES,2,1,0,0,0,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/bacoor/2-bedrooms-for-sale-in-bacoor-cavite-near-pasay-172114651652/
CD5D13482CC5570PH,STANFORD SUITES,1,1,0,0,0,1,0,0,0,https://www.lamudi.com.ph/projects/stanford-suites/semi-furnished-studio-unit-with-parking-in-stanford-suites-cavite-for-sale/
CD5DB7AC716A5B5PH,TAGAYTAY PRIME RESIDENCES,1,1,1,3,2,1,1,2,3,https://www.lamudi.com.ph/projects/tagaytay-prime-residences/studio-unit-for-sale-at-tagaytay-prime-residences-2/
CD66530DC16D913PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,4,3,0,0,0,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/for-sale-4br-unit-at-tagaytay-highlands-woodridge-171682356074/
CD66320AF0E5DA6PH,SERIN EAST TAGAYTAY,1,1,2,1,1,1,1,1,1,https://www.lamudi.com.ph/buy/cavite/tagaytay/lipat-agad-good-deal-special-1br-w-balcony-in-taga-171463442431/
CD6617ECA95DF8FPH,0,0,1,1,2,1,0,0,0,0,https://www.lamudi.com.ph/projects/pine-suites-tagaytay-1/ready-for-occupancy-studio-unit-for-sale-in-tagayt-171284394524/
CD6086948AF2AA2PH,PINE SUITES TAGAYTAY,2,1,2,2,1,1,0,1,2,https://www.lamudi.com.ph/projects/pine-suites-tagaytay-1/2-bedroom-condo-fully-furnished-in-pine-suites-tag-17186082919/
CD63D7754B20347PH,SERIN EAST TAGAYTAY,1,1,2,1,1,1,1,2,3,https://www.lamudi.com.ph/buy/cavite/tagaytay/preselling-studio-type-condo-unit-for-sale-in-seri-171981040123/
CD667EDBFAC6FB3PH,SERIN WEST TAGAYTAY,1,1,0,0,1,1,0,0,1,https://www.lamudi.com.ph/buy/cavite/tagaytay/rush-sale-1-bedroom-condominium-unit-in-tagaytay-c-171958988224/
CD665EBD911597FPH,TAGAYTAY PRIME RESIDENCES,1,1,0,0,0,1,0,1,1,https://www.lamudi.com.ph/buy/cavite/tagaytay/1-bedroom-fully-furnished-unit-in-tagaytay-with-ta-171748494534/
CD66657690B5B5FPH,HORIZON TERRACES,1,1,1,0,1,0,1,2,2,https://www.lamudi.com.ph/buy/cavite/tagaytay/rfo-1br-luxury-condo-for-sale-tagaytay-highlands-t-171792552057/
CD664D7EAC32711PH,KASA LUNTIAN,1,1,0,0,1,1,1,1,2,https://www.lamudi.com.ph/projects/kasa-luntian-1/1-bedroom-unit-with-balcony-kasa-luntian-tagaytay-17163547328/
CD65A4E5E77AFDCPH,KASA LUNTIAN,1,1,0,0,1,1,1,1,0,https://www.lamudi.com.ph/projects/kasa-luntian-1/for-sale-41-sqm-studio-condo-unit-at-kasa-luntian-170530557529/
CD65798FC6B386DPH,WIND RESIDENCES,1,1,2,0,1,1,0,1,1,https://www.lamudi.com.ph/projects/wind-residences/pasalo-rush-for-sale-studio-condominium-in-wind-re-171386503086/
CD66306AEE8DF27PH,WIND RESIDENCES,1,1,2,0,2,1,0,1,1,https://www.lamudi.com.ph/projects/wind-residences/condo-for-sale-1br-with-balcony-in-wind-residences-171444913425/
CD64900F012B4E4PH,SERIN EAST TAGAYTAY,2,2,1,1,1,1,1,1,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/for-sale-2-bedroom-condo-unit-with-balcony-at-seri-168716262538/
CD64900C4C41635PH,SERIN EAST TAGAYTAY,1,1,1,1,1,1,1,1,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/serin-east-tagaytay-1-bedroom-for-sale-in-tagaytay-168784662135/
CD65F2B82A676B4PH,ELIJAH HOTEL AND RESIDENCES,1,1,0,0,0,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/dasmarinas/pre-selling-rent-to-own-studio-tupe-condominium-in-171110072438/
CD6682979C30FFAPH,MILANO,1,1,0,0,0,1,1,1,1,https://www.lamudi.com.ph/buy/cavite/bacoor/rent-to-own-condo-in-milano-bacoor-cavite-171983452462/
CD66A8FE1D29131PH,HORIZON TERRACES,1,1,0,0,0,0,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/rfo-condo-in-tagaytay-highlands-172235113315/
